Text name: ./res/vae/21/log.txt
Namespace(batch_size=128, dropout=0.25, epoch=100, exp_case=[1, 2, 3], frame=1, gpu=0, h_dim=[128], id=21, k=10, light=True, lr=0.001, lr_rate=0.9, lr_step=50, mode='vae', norm=1, root='./dataset', sig_max=1, wd=0.0001, z_dim=32)
[ID] recon avg: [0.148] kl_div avg: [174.182]
[OOD] recon avg: [0.176] kl_div avg: [138.588]
epoch: [86/100] loss: [0.100] train_loss:[0.1152] test_loss: [0.1423]
[ID] recon avg: [0.142] kl_div avg: [174.102]
[OOD] recon avg: [0.168] kl_div avg: [138.712]
epoch: [87/100] loss: [0.099] train_loss:[0.1159] test_loss: [0.1443]
[ID] recon avg: [0.144] kl_div avg: [174.491]
[OOD] recon avg: [0.169] kl_div avg: [139.176]
epoch: [88/100] loss: [0.099] train_loss:[0.1157] test_loss: [0.1464]
[ID] recon avg: [0.146] kl_div avg: [174.655]
[OOD] recon avg: [0.165] kl_div avg: [139.224]
epoch: [89/100] loss: [0.098] train_loss:[0.1139] test_loss: [0.1430]
[ID] recon avg: [0.143] kl_div avg: [173.837]
[OOD] recon avg: [0.165] kl_div avg: [138.764]
epoch: [90/100] loss: [0.097] train_loss:[0.1081] test_loss: [0.1354]
[ID] recon avg: [0.135] kl_div avg: [174.866]
[OOD] recon avg: [0.160] kl_div avg: [139.705]
epoch: [91/100] loss: [0.096] train_loss:[0.1119] test_loss: [0.1376]
[ID] recon avg: [0.138] kl_div avg: [173.420]
[OOD] recon avg: [0.165] kl_div avg: [138.648]
epoch: [92/100] loss: [0.095] train_loss:[0.1096] test_loss: [0.1366]
[ID] recon avg: [0.137] kl_div avg: [173.602]
[OOD] recon avg: [0.160] kl_div avg: [138.909]
epoch: [93/100] loss: [0.094] train_loss:[0.1128] test_loss: [0.1432]
[ID] recon avg: [0.143] kl_div avg: [172.567]
[OOD] recon avg: [0.162] kl_div avg: [138.279]
epoch: [94/100] loss: [0.091] train_loss:[0.1065] test_loss: [0.1333]
[ID] recon avg: [0.133] kl_div avg: [174.613]
[OOD] recon avg: [0.152] kl_div avg: [139.949]
epoch: [95/100] loss: [0.092] train_loss:[0.1195] test_loss: [0.1504]
[ID] recon avg: [0.150] kl_div avg: [173.421]
[OOD] recon avg: [0.159] kl_div avg: [139.196]
epoch: [96/100] loss: [0.091] train_loss:[0.1048] test_loss: [0.1308]
[ID] recon avg: [0.131] kl_div avg: [174.923]
[OOD] recon avg: [0.149] kl_div avg: [140.395]
epoch: [97/100] loss: [0.090] train_loss:[0.1103] test_loss: [0.1400]
[ID] recon avg: [0.140] kl_div avg: [173.634]
[OOD] recon avg: [0.154] kl_div avg: [139.509]
epoch: [98/100] loss: [0.089] train_loss:[0.1032] test_loss: [0.1283]
[ID] recon avg: [0.128] kl_div avg: [174.575]
[OOD] recon avg: [0.146] kl_div avg: [140.391]
epoch: [99/100] loss: [0.090] train_loss:[0.1105] test_loss: [0.1392]
[ID] recon avg: [0.139] kl_div avg: [172.286]
[OOD] recon avg: [0.150] kl_div avg: [138.600]
recon AUROC: [0.709] AUPR: [0.805]
kl AUROC: [0.435] AUPR: [0.635]
